timestamp,temp,dew,humidity,precip,windspeed,cloudcover,visibility,solarenergy,uvindex
2016-05-02T15:00:00,15.3,0.4,36.28,0,9.2,0.1,29.4,2.1,6
2016-05-02T16:00:00,14.8,-0.1,36.07,0,10.3,0.1,28.2,1.8,5
2016-05-02T17:00:00,15.2,-0.3,34.75,0,8.8,0,29.7,1.5,4
2016-05-02T18:00:00,15.7,-3.1,27.35,0,12.2,0,32.9,1.1,3
2016-05-02T19:00:00,15.3,-2.1,30.12,0,10.4,0,34.7,0.6,2
2016-05-02T20:00:00,12.9,0.7,43.15,0,7.6,0,35.3,0.2,1
2016-05-02T21:00:00,11.8,-0.1,43.78,0,10.8,0,33.7,0,0
2016-05-02T22:00:00,10.7,0.1,47.74,0,9.1,0,37.7,,0
2016-05-02T23:00:00,9.7,0.7,53.44,0,7.1,0,39.2,,0
2016-05-03T00:00:00,8.5,1.5,61.47,0,4.2,0,37.7,,0
2016-05-03T01:00:00,7.5,2.1,68.51,0,3.5,0,34.5,,0
2016-05-03T02:00:00,6.7,2.6,75,0,3.4,8,33.2,,0
2016-05-03T03:00:00,6.4,2.9,78.17,0,0.7,9.9,29.7,,0
2016-05-03T04:00:00,5.9,3.7,85.91,0,2.2,40.8,30.7,,0
2016-05-03T05:00:00,5.4,3.3,86.35,0,3.2,0,31.4,0,0
2016-05-03T06:00:00,5.2,3,85.75,0,4.3,0,25.1,0.3,1
2016-05-03T07:00:00,8,3.5,73.41,0,2.4,0,21.9,0.7,2
2016-05-03T08:00:00,11.5,2.7,54.86,0,2.3,1.6,23.1,1.2,3
2016-05-03T09:00:00,13.5,1.7,44.86,0,3.9,0,21.1,1.7,5
2016-05-03T10:00:00,13.8,2.2,45.52,0,7,0,28.4,2.1,6
2016-05-03T11:00:00,13.9,3.6,49.98,0,11.6,0,32.6,2.4,7
2016-05-03T12:00:00,14.6,1.3,40.6,0,11.3,1.6,31,2.5,7
2016-05-03T13:00:00,15,0.6,37.48,0,10.3,0.1,31.3,2.6,7
2016-05-03T14:00:00,16,1.3,36.95,0,8.8,0.1,32.3,2.5,7
2016-05-03T15:00:00,15.5,1.7,39.08,0,10.9,0.1,29.8,2.3,6
2016-05-03T16:00:00,14.2,4.7,52.88,0,11.8,0.1,31.2,1.9,5
2016-05-03T17:00:00,14.2,4.7,52.75,0,8.9,0,35.3,1.4,4
2016-05-03T18:00:00,14,4.1,51.51,0,13.8,0,29.5,0.9,3
2016-05-03T19:00:00,14.1,4.9,53.89,0,10.7,0,32.9,0.5,1
2016-05-03T20:00:00,13.4,3.1,49.87,0,8.3,0,30.3,0.2,0
2016-05-03T21:00:00,12.1,3.1,54.12,0,7.3,0,29.4,0,0
2016-05-03T22:00:00,11.4,3.1,56.76,0,6.9,0,31,,0
2016-05-03T23:00:00,10,3.8,65.32,0,4.7,0,27.3,,0
2016-05-04T00:00:00,9.1,4.3,71.83,0,4.2,0,29.9,,0
2016-05-04T01:00:00,8.6,4.4,75.08,0,5.4,0,30.4,,0
2016-05-04T02:00:00,7.8,4.6,80.65,0,4.5,0,29.7,,0
2016-05-04T03:00:00,7.3,3.7,77.51,0,4.4,0,30.4,,0
2016-05-04T04:00:00,6.3,3.4,81.82,0,6.1,0,28.8,,0
2016-05-04T05:00:00,6.1,2.5,77.37,0,6.6,0,32.8,0,0
2016-05-04T06:00:00,6.4,2,73.4,0,7.9,0,28,0.3,1
